session_id,user,src_ip,auth_count_1149,start,end_A_next1149_or_pad,end_B_last_disconnect_or_none,duration_A_sec,duration_B_sec,disconnect_count,reconnect_count,confidence
S0001,UNKNOWN,163.152.10.117,1,2025-12-02T09:44:54.344587+00:00,2025-12-02T09:54:54.344587+00:00,,600,,0,0,LOW
S0002,UNKNOWN,163.152.10.117,1,2025-12-02T16:44:51.083334+00:00,2025-12-02T16:54:51.083334+00:00,,600,,0,0,LOW
S0003,UNKNOWN,163.152.10.117,1,2025-12-03T14:35:30.602472+00:00,2025-12-03T14:45:30.602472+00:00,,600,,0,0,LOW
S0004,UNKNOWN,163.152.10.117,1,2025-12-04T18:47:48.068659+00:00,2025-12-04T18:57:48.068659+00:00,,600,,0,0,LOW
S0005,UNKNOWN,163.152.10.117,1,2025-12-05T04:02:10.297632+00:00,2025-12-05T04:12:10.297632+00:00,,600,,0,0,LOW
S0006,UNKNOWN,163.152.10.117,1,2025-12-06T14:28:44.184557+00:00,2025-12-06T14:38:44.184557+00:00,,600,,0,0,LOW
S0007,UNKNOWN,163.152.10.117,1,2025-12-07T06:22:59.260815+00:00,2025-12-07T06:32:59.260815+00:00,,600,,0,0,LOW
S0008,UNKNOWN,163.152.10.117,1,2025-12-09T18:20:10.263260+00:00,2025-12-09T18:30:10.263260+00:00,,600,,0,0,LOW
S0009,UNKNOWN,163.152.10.117,1,2025-12-11T09:52:44.204695+00:00,2025-12-11T10:02:44.204695+00:00,,600,,0,0,LOW
S0010,UNKNOWN,163.152.10.117,1,2025-12-11T10:59:22.809139+00:00,2025-12-11T11:09:22.809139+00:00,,600,,0,0,LOW
S0011,UNKNOWN,163.152.10.117,1,2025-12-16T15:21:29.743280+00:00,2025-12-16T15:31:29.743280+00:00,,600,,0,0,LOW
S0012,UNKNOWN,163.152.10.117,1,2025-12-17T13:39:16.355562+00:00,2025-12-17T13:49:16.355562+00:00,,600,,0,0,LOW
S0013,UNKNOWN,163.152.10.117,1,2025-12-19T00:34:33.719290+00:00,2025-12-19T00:44:33.719290+00:00,,600,,0,0,LOW
S0014,UNKNOWN,163.152.10.117,1,2025-12-22T12:22:33.332491+00:00,2025-12-22T12:32:33.332491+00:00,,600,,0,0,LOW
S0015,UNKNOWN,163.152.10.117,1,2025-12-23T03:02:32.769756+00:00,2025-12-23T03:12:32.769756+00:00,,600,,0,0,LOW
S0016,UNKNOWN,163.152.10.117,1,2025-12-24T04:07:42.097574+00:00,2025-12-24T04:17:42.097574+00:00,,600,,0,0,LOW
S0017,UNKNOWN,163.152.10.117,1,2025-12-24T06:28:07.510468+00:00,2025-12-24T06:38:07.510468+00:00,,600,,0,0,LOW
S0018,UNKNOWN,163.152.10.117,1,2025-12-29T16:10:48.882124+00:00,2025-12-29T16:20:48.882124+00:00,,600,,0,0,LOW
S0019,UNKNOWN,163.152.10.117,1,2025-12-29T19:26:25.719997+00:00,2025-12-29T19:36:25.719997+00:00,,600,,0,0,LOW
S0020,UNKNOWN,163.152.10.117,1,2025-12-30T04:10:56.963364+00:00,2025-12-30T04:20:56.963364+00:00,,600,,0,0,LOW
