session_id,user,src_ip,auth_count_1149,start,end_A_next1149_or_pad,end_B_last_disconnect_or_none,duration_A_sec,duration_B_sec,disconnect_count,reconnect_count,confidence
S0021,pcj,163.152.125.134,2,2025-12-02T06:10:53.780542+00:00,2025-12-02T06:21:02.701029+00:00,,608,,0,0,MEDIUM
S0036,pcj,163.152.71.74,1,2025-12-03T00:38:38.022482+00:00,2025-12-03T00:48:38.022482+00:00,,600,,0,0,MEDIUM
S0022,pcj,163.152.125.134,2,2025-12-03T03:57:01.056261+00:00,2025-12-03T04:08:22.594374+00:00,,681,,0,0,MEDIUM
S0023,pcj,163.152.125.134,1,2025-12-03T05:59:36.525293+00:00,2025-12-03T06:09:36.525293+00:00,,600,,0,0,MEDIUM
S0024,pcj,163.152.125.134,1,2025-12-03T07:34:35.587875+00:00,2025-12-03T07:44:35.587875+00:00,,600,,0,0,MEDIUM
S0025,pcj,163.152.125.134,1,2025-12-08T03:51:32.189943+00:00,2025-12-08T04:01:32.189943+00:00,,600,,0,0,MEDIUM
S0026,pcj,163.152.125.134,1,2025-12-10T11:14:42.933931+00:00,2025-12-10T11:24:42.933931+00:00,,600,,0,0,MEDIUM
S0027,pcj,163.152.125.134,1,2025-12-12T03:16:35.813189+00:00,2025-12-12T03:26:35.813189+00:00,,600,,0,0,MEDIUM
S0028,pcj,163.152.125.134,2,2025-12-16T11:12:40.370831+00:00,2025-12-16T11:41:55.458042+00:00,,1755,,0,0,MEDIUM
S0029,pcj,163.152.125.134,1,2025-12-17T05:30:39.972345+00:00,2025-12-17T05:40:39.972345+00:00,,600,,0,0,MEDIUM
S0030,pcj,163.152.125.134,1,2025-12-18T00:53:49.518837+00:00,2025-12-18T01:03:49.518837+00:00,,600,,0,0,MEDIUM
S0031,pcj,163.152.125.134,1,2025-12-23T08:35:42.538782+00:00,2025-12-23T08:45:42.538782+00:00,,600,,0,0,MEDIUM
S0032,pcj,163.152.125.134,1,2025-12-30T03:21:21.296556+00:00,2025-12-30T03:31:21.296556+00:00,,600,,0,0,MEDIUM
S0033,pcj,163.152.125.134,1,2025-12-30T05:41:59.459192+00:00,2025-12-30T05:51:59.459192+00:00,,600,,0,0,MEDIUM
S0034,pcj,163.152.125.134,1,2025-12-30T11:25:45.617823+00:00,2025-12-30T11:35:45.617823+00:00,,600,,0,0,MEDIUM
S0035,pcj,163.152.125.134,1,2025-12-31T04:10:28.112221+00:00,2025-12-31T04:20:28.112221+00:00,,600,,0,0,MEDIUM
