session_id,user,src_ip,src_host,auth_count_1149,start,end_A_next1149_or_pad,end_B_last_disconnect_or_none,duration_A_sec,duration_B_sec,disconnect_count,reconnect_count,confidence,evidence_auth_1149_first,evidence_auth_1149_last,evidence_disconnect_last,evidence_reconnect_last,evidence_events
S0021,pcj,163.152.125.134,,2,2025-12-02T06:10:53.780542+00:00,2025-12-02T06:21:02.701029+00:00,,608,,0,0,MEDIUM,2025-12-02T06:10:53.780542+00:00,2025-12-02T06:11:02.701029+00:00,,,"[{'timestamp': '2025-12-02T06:10:53.780542+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}, {'timestamp': '2025-12-02T06:11:02.701029+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0001,UNKNOWN,163.152.10.117,,1,2025-12-02T09:44:54.344587+00:00,2025-12-02T09:54:54.344587+00:00,,600,,0,0,LOW,2025-12-02T09:44:54.344587+00:00,2025-12-02T09:44:54.344587+00:00,,,"[{'timestamp': '2025-12-02T09:44:54.344587+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0002,UNKNOWN,163.152.10.117,,1,2025-12-02T16:44:51.083334+00:00,2025-12-02T16:54:51.083334+00:00,,600,,0,0,LOW,2025-12-02T16:44:51.083334+00:00,2025-12-02T16:44:51.083334+00:00,,,"[{'timestamp': '2025-12-02T16:44:51.083334+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0036,pcj,163.152.71.74,,1,2025-12-03T00:38:38.022482+00:00,2025-12-03T00:48:38.022482+00:00,,600,,0,0,MEDIUM,2025-12-03T00:38:38.022482+00:00,2025-12-03T00:38:38.022482+00:00,,,"[{'timestamp': '2025-12-03T00:38:38.022482+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0022,pcj,163.152.125.134,,2,2025-12-03T03:57:01.056261+00:00,2025-12-03T04:08:22.594374+00:00,,681,,0,0,MEDIUM,2025-12-03T03:57:01.056261+00:00,2025-12-03T03:58:22.594374+00:00,,,"[{'timestamp': '2025-12-03T03:57:01.056261+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}, {'timestamp': '2025-12-03T03:58:22.594374+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0023,pcj,163.152.125.134,,1,2025-12-03T05:59:36.525293+00:00,2025-12-03T06:09:36.525293+00:00,,600,,0,0,MEDIUM,2025-12-03T05:59:36.525293+00:00,2025-12-03T05:59:36.525293+00:00,,,"[{'timestamp': '2025-12-03T05:59:36.525293+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0024,pcj,163.152.125.134,,1,2025-12-03T07:34:35.587875+00:00,2025-12-03T07:44:35.587875+00:00,,600,,0,0,MEDIUM,2025-12-03T07:34:35.587875+00:00,2025-12-03T07:34:35.587875+00:00,,,"[{'timestamp': '2025-12-03T07:34:35.587875+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0003,UNKNOWN,163.152.10.117,,1,2025-12-03T14:35:30.602472+00:00,2025-12-03T14:45:30.602472+00:00,,600,,0,0,LOW,2025-12-03T14:35:30.602472+00:00,2025-12-03T14:35:30.602472+00:00,,,"[{'timestamp': '2025-12-03T14:35:30.602472+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0004,UNKNOWN,163.152.10.117,,1,2025-12-04T18:47:48.068659+00:00,2025-12-04T18:57:48.068659+00:00,,600,,0,0,LOW,2025-12-04T18:47:48.068659+00:00,2025-12-04T18:47:48.068659+00:00,,,"[{'timestamp': '2025-12-04T18:47:48.068659+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0005,UNKNOWN,163.152.10.117,,1,2025-12-05T04:02:10.297632+00:00,2025-12-05T04:12:10.297632+00:00,,600,,0,0,LOW,2025-12-05T04:02:10.297632+00:00,2025-12-05T04:02:10.297632+00:00,,,"[{'timestamp': '2025-12-05T04:02:10.297632+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
